 ,8/1/1917
 ,8/1/1917
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
MILLER DIGGINS FIRE,10/28/1917
SECTION 28,10/5/1917
MEEKS CK,9/15/1917
BOTTLE HILL,10/8/1917
 ,<Null>
CHIPMUNK #2,8/24/1917
 ,<Null>
SECTION 28,10/5/1917
PILOT CK,10/13/1917
RUBICON,10/25/1917
SLATE MT,9/14/1917
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
CAMP CREEK #2,8/19/1917
ULLATHORNE,8/6/1917
CRAWFORD CREEK,7/19/1917
DEER LICK,8/18/1917
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
PLEASANT VIEW RIDGE (#96),10/1/1917
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
HASTINGS RANCH,<Null>
COLD CK FIRE,8/24/1917
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
BADGER SP.,6/13/1918
MILL CREEK,6/16/1918
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
WILD CAT,6/12/1918
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
CIDER CK,9/2/1918
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
STONE CREEK,6/18/1918
MYRTLE CREEK,6/26/1918
CAMP CREEK,6/12/1918
MARINE ROCK,8/5/1918
RED CAP,6/12/1918
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
COREY CANYON,10/27/1918
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
PACOIMA CANYON,7/20/1918
BEAR RIVER FIRE,6/12/1918
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
