UNIT_ID,FIRE_NAME,CAUSE,ALARM_DATE_Con
Shasta-Trinity National Forest,COAL,9 - Miscellaneous,9/21/2012
Joshua Tree NP,QUAIL,1 - Lightning,8/12/2012
Riverside CDF,LAKEPOINTE,14 - Unknown / Unidentified,5/27/2012
Sequoia National Forest,SLIDES,9 - Miscellaneous,9/2/2012
Shasta - Trinity CDF,POWER,9 - Miscellaneous,9/1/2012
Kern County,SOUTH,14 - Unknown / Unidentified,7/29/2012
Lassen - Modoc CDF,CHENEY,9 - Miscellaneous,9/13/2012
Klamath National Forest,LICK,1 - Lightning,8/5/2012
Northern CA District - BLM,MARR,1 - Lightning,8/12/2012
Kern County,GRAPEVINE,14 - Unknown / Unidentified,6/18/2012
Nevada - Yuba - Placer CDF,RAMIREZ,5 - Debris,7/21/2012
Sonoma - Lake - Napa CDF,SODA,18 - Escaped Prescribed Burn,2/23/2012
Kern County,KECKS,14 - Unknown / Unidentified,7/8/2012
Mendocino CDF,FLYNN,11 - Powerline,10/1/2012
Siskiyou CDF,OAK,5 - Debris,6/28/2012
Nevada - Yuba - Placer CDF,BROADWAY / NORTH COMPLEX,7 - Arson,7/7/2012
Stanislaus National Forest,WHEATS ,1 - Lightning,8/4/2012
Kern County,EMIGDIO,14 - Unknown / Unidentified,6/29/2012
Nevada - Yuba - Placer CDF,FIDDYMENT,14 - Unknown / Unidentified,6/14/2012
San Luis Obispo CDF,BITTER,9 - Miscellaneous,8/31/2012
San Bernardino National Forest,CARY,8 - Playing with fire,6/29/2012
Northern CA District - BLM,CONSTANIA,1 - Lightning,8/15/2012
Shasta - Trinity CDF,CREEK,2 - Equipment Use,9/4/2012
Los Angeles County,COPCO FIRE,14 - Unknown / Unidentified,8/18/2012
San Luis Obispo CDF,CALIENTE,1 - Lightning,8/4/2012
CA Desert District - BLM,HIGHLINE,5 - Debris,6/1/2012
Modoc National Forest,SISTERS,2 - Equipment Use,10/11/2012
CA Desert District - BLM,WINDY,2 - Equipment Use,11/8/2012
Fresno-Kings CDF,LANES,3 - Smoking,8/11/2012
Tuolumne - Calaveras CDF,PENN,2 - Equipment Use,7/25/2012
Kern County,TWINS,14 - Unknown / Unidentified,6/11/2012
Los Angeles County,TREE FIRE,14 - Unknown / Unidentified,5/8/2012
Northern CA District - BLM,SPANISH,4 - Campfire,8/31/2012
CA Desert District - BLM,BORDER 12,14 - Unknown / Unidentified,7/7/2012
San Bernardino National Forest,BOWEN,4 - Campfire,6/10/2012
Butte CDF,OREGON,11 - Powerline,7/8/2012
Tuolumne - Calaveras CDF,LA GRANGE,7 - Arson,7/10/2012
Nevada - Yuba - Placer CDF,BEALE,2 - Equipment Use,8/11/2012
Kern County,COMANCHE,1 - Lightning,9/10/2011
Kern County,BRECKENRIDGE COMPLEX,1 - Lightning,9/10/2011
Sequoia National Forest,LION,1 - Lightning,7/8/2011
Kern County,CANYON,16 - Aircraft,9/4/2011
San Diego CDF,EAGLE,7 - Arson,7/21/2011
Kern County,REED,1 - Lightning,9/10/2011
San Bernardino CDF,JOHN,14 - Unknown / Unidentified,9/13/2011
Sequoia National Forest,MOTOR,2 - Equipment Use,8/25/2011
Kern County,ANTELOPE,14 - Unknown / Unidentified,6/19/2011
Kern County,NORTH,1 - Lightning,9/10/2011
Kern County,QUINN,14 - Unknown / Unidentified,6/21/2011
Kern County,INDIAN,1 - Lightning,9/10/2011
Kern County,KNOB,1 - Lightning,9/10/2011
Kern County,BLACK,1 - Lightning,9/10/2011
San Diego CDF,GREAT,14 - Unknown / Unidentified,10/1/2011
Kern County,CATTLE,1 - Lightning,9/11/2011
Northern CA District - BLM,ANNIE,14 - Unknown / Unidentified,8/18/2011
Kern County,65,1 - Lightning,9/23/2011
Modoc National Forest,COUGAR,4 - Campfire,6/8/2011
Kern County,BAKER,1 - Lightning,9/10/2011
Mojave - NPS,WELLS,1 - Lightning,8/27/2011
San Luis Obispo CDF,SODA,2 - Equipment Use,9/3/2011
